split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95
actuation_bias_shift,embodied_repair_memory,120,0.2167,0.0740,0.1114,0.0110,0.2083,0.0730,0.0735,0.0195
actuation_bias_shift,global_average_repair,120,0.2167,0.0740,0.1102,0.0130,0.2917,0.0817,0.0981,0.0260
actuation_bias_shift,last_repair_memory,120,0.2083,0.0730,0.1130,0.0122,0.2833,0.0810,0.0982,0.0245
actuation_bias_shift,nominal_mpc,120,0.2417,0.0769,0.1014,0.0101,0.2500,0.0778,0.0760,0.0203
actuation_bias_shift,oracle_hidden_deployment,120,0.4167,0.0886,0.0977,0.0110,0.0083,0.0163,0.0000,0.0000
actuation_bias_shift,random_candidate,120,0.0583,0.0421,0.1835,0.0177,0.5417,0.0895,0.2468,0.0312
actuation_bias_shift,robust_worst_case_mpc,120,0.2333,0.0760,0.1054,0.0110,0.2167,0.0740,0.0700,0.0181
combined_shift,embodied_repair_memory,120,0.1167,0.0577,0.1760,0.0179,0.4250,0.0888,0.1344,0.0216
combined_shift,global_average_repair,120,0.1500,0.0642,0.1616,0.0164,0.5500,0.0894,0.1580,0.0263
combined_shift,last_repair_memory,120,0.1083,0.0558,0.1787,0.0178,0.5417,0.0895,0.1730,0.0270
combined_shift,nominal_mpc,120,0.1583,0.0656,0.1642,0.0162,0.5167,0.0898,0.1500,0.0248
combined_shift,oracle_hidden_deployment,120,0.2583,0.0786,0.1486,0.0167,0.0667,0.0448,0.0000,0.0000
combined_shift,random_candidate,120,0.0417,0.0359,0.2331,0.0236,0.5417,0.0895,0.2279,0.0275
combined_shift,robust_worst_case_mpc,120,0.1500,0.0642,0.1627,0.0159,0.4917,0.0898,0.1410,0.0241
heavy_object_shift,embodied_repair_memory,120,0.1750,0.0683,0.1207,0.0113,0.2167,0.0740,0.0822,0.0188
heavy_object_shift,global_average_repair,120,0.1917,0.0707,0.1145,0.0112,0.2583,0.0786,0.0885,0.0201
heavy_object_shift,last_repair_memory,120,0.1917,0.0707,0.1139,0.0115,0.2750,0.0802,0.0932,0.0209
heavy_object_shift,nominal_mpc,120,0.1917,0.0707,0.1160,0.0113,0.2417,0.0769,0.0850,0.0199
heavy_object_shift,oracle_hidden_deployment,120,0.4083,0.0883,0.1035,0.0127,0.0000,0.0000,0.0000,0.0000
heavy_object_shift,random_candidate,120,0.0167,0.0230,0.1925,0.0194,0.5333,0.0896,0.2505,0.0243
heavy_object_shift,robust_worst_case_mpc,120,0.2000,0.0719,0.1210,0.0113,0.1583,0.0656,0.0650,0.0167
high_friction_shift,embodied_repair_memory,120,0.1417,0.0627,0.1311,0.0101,0.2250,0.0750,0.0973,0.0195
high_friction_shift,global_average_repair,120,0.2250,0.0750,0.1218,0.0126,0.3167,0.0836,0.1157,0.0249
high_friction_shift,last_repair_memory,120,0.1667,0.0670,0.1390,0.0148,0.4000,0.0880,0.1581,0.0286
high_friction_shift,nominal_mpc,120,0.2000,0.0719,0.1176,0.0104,0.2833,0.0810,0.1014,0.0216
high_friction_shift,oracle_hidden_deployment,120,0.3833,0.0874,0.1012,0.0098,0.0000,0.0000,0.0000,0.0000
high_friction_shift,random_candidate,120,0.0333,0.0323,0.2023,0.0193,0.5917,0.0883,0.2801,0.0281
high_friction_shift,robust_worst_case_mpc,120,0.2083,0.0730,0.1196,0.0111,0.2333,0.0760,0.0883,0.0198
low_friction_shift,embodied_repair_memory,120,0.0583,0.0421,0.1494,0.0100,0.2417,0.0769,0.0725,0.0184
low_friction_shift,global_average_repair,120,0.0583,0.0421,0.1482,0.0099,0.2667,0.0795,0.0788,0.0202
low_friction_shift,last_repair_memory,120,0.0500,0.0392,0.1511,0.0104,0.3500,0.0857,0.1068,0.0237
low_friction_shift,nominal_mpc,120,0.0583,0.0421,0.1469,0.0093,0.2667,0.0795,0.0775,0.0193
low_friction_shift,oracle_hidden_deployment,120,0.1583,0.0656,0.1470,0.0120,0.0083,0.0163,0.0000,0.0000
low_friction_shift,random_candidate,120,0.0167,0.0230,0.2412,0.0216,0.5500,0.0894,0.2584,0.0277
low_friction_shift,robust_worst_case_mpc,120,0.0583,0.0421,0.1515,0.0093,0.2000,0.0719,0.0620,0.0171
nominal,embodied_repair_memory,120,0.2250,0.0750,0.1113,0.0107,0.2333,0.0760,0.0641,0.0185
nominal,global_average_repair,120,0.2500,0.0778,0.1060,0.0101,0.2333,0.0760,0.0588,0.0180
nominal,last_repair_memory,120,0.2000,0.0719,0.1064,0.0099,0.2917,0.0817,0.0769,0.0202
nominal,nominal_mpc,120,0.2417,0.0769,0.1076,0.0104,0.2333,0.0760,0.0605,0.0185
nominal,oracle_hidden_deployment,120,0.3250,0.0842,0.1171,0.0122,0.0000,0.0000,0.0000,0.0000
nominal,random_candidate,120,0.0417,0.0359,0.2225,0.0205,0.5417,0.0895,0.2694,0.0345
nominal,robust_worst_case_mpc,120,0.2417,0.0769,0.1166,0.0109,0.1583,0.0656,0.0470,0.0158
